Adipose-Subcutaneous,ADPSBO
Adipose-Visceral_Omentum_,ADPVSC
AdrenalGland,ADNGLD
Artery-Aorta,ARTAOT
Artery-Coronary,ARTCRN
Artery-Tibial,ARTTBL
Brain-Amygdala,BRNAGD
Brain-Anteriorcingulatecortex_BA24_,BRNATG
Brain-Caudate_basalganglia_,BRNCDB
Brain-CerebellarHemisphere,BRNCBH
Brain-Cerebellum,BRNCB
Brain-Cortex,BRNCT
Brain-FrontalCortex_BA9_,BRNFCT
Brain-Hippocampus,BRNHPC
Brain-Hypothalamus,BRNHPT
Brain-Nucleusaccumbens_basalganglia_,BRNNAB
Brain-Putamen_basalganglia_,BRNPBG
Brain-Spinalcord_cervicalc-1_,BRNSPC
Brain-Substantianigra,BRNSNG
Breast-MammaryTissue,BREAST
Cells-Culturedfibroblasts,FIBRBLS
Cells-EBV-transformedlymphocytes,LCL
Colon-Sigmoid,CLNSGM
Colon-Transverse,CLNTRN
Esophagus-GastroesophagealJunction,ESPGEL
Esophagus-Mucosa,ESPMCS
Esophagus-Muscularis,ESPMSL
Heart-AtrialAppendage,HRTAA
Heart-LeftVentricle,HRTLV
Kidney-Cortex,KDNCTX
Liver,LIVER
Lung,LUNG
MinorSalivaryGland,SLVRYG
Muscle-Skeletal,MUSCLSK
Nerve-Tibial,NERVET
Ovary,OVARY
Pancreas,PNCREAS
Pituitary,PTTARY
Prostate,PRSTTE
Skin-NotSunExposed_Suprapubic_,SKINNS
Skin-SunExposed_Lowerleg_,SKINS
SmallIntestine-TerminalIleum,SNTTRM
Spleen,SPLEEN
Stomach,STMACH
Testis,TESTIS
Thyroid,THYROID
Uterus,UTERUS
Vagina,VAGINA
WholeBlood,WHLBLD
